Source;Target;Type;Label;Weight
[H]Killeen;[C]Hong Kong Sar;directed;353.28;1.0100494965011093
[H]Washington D.C.;[C]Hong Kong Sar;directed;320.16;1.0091073562041304
[H]Atlanta;[C]Meads Bay;directed;2634.52;1.074942254082039
[H]Dallas;[C]Meads Bay;directed;322.04;1.0091608351823405
[H]Daytona Beach Shores;[C]Meads Bay;directed;535.44;1.015231268134494
[H]Las Vegas;[C]Meads Bay;directed;325.8;1.0092677931387608
[H]Long Beach;[C]Meads Bay;directed;114.46;1.0032559594925186
[H]Louisville;[C]Meads Bay;directed;166.84;1.0047459748535017
[H]Mesquite;[C]Meads Bay;directed;26.19;1.0007450076804916
[H]New Orleans;[C]Meads Bay;directed;127.07;1.0036146668942367
[H]Phoenix;[C]Meads Bay;directed;647.96;1.018432041872902
[H]Pittsburgh;[C]Meads Bay;directed;111.55;1.0031731808613529
[H]Punta Gorda;[C]Meads Bay;directed;120.28;1.0034215167548501
[H]San Antonio;[C]Meads Bay;directed;550.96;1.0156727541673778
[H]Seattle;[C]Meads Bay;directed;168.78;1.0048011606076122
[H]St. Louis;[C]Meads Bay;directed;840.99;1.0239230244068953
[H]West Fargo;[C]Meads Bay;directed;120.28;1.0034215167548501
[H]Los Angeles;[C]Moscow;directed;80.84;1.002299596063037
[H]New York;[C]Moscow;directed;64.86;1.0018450247482507
[H]Orlando;[C]New York City;directed;3132.18;1.0890988223246287
[H]Branson;[C]Orlando;directed;185.52;1.0052773510838027
[H]Gatlinburg;[C]Orlando;directed;786.56;1.0223746942026513
[H]Grand Canyon;[C]Orlando;directed;393.28;1.0111873471013255
[H]Las Vegas;[C]Orlando;directed;1791.13;1.0509509586391308
[H]Miami Beach;[C]Orlando;directed;1911.6;1.0543778801843318
[H]Monument Valley;[C]Orlando;directed;180.32;1.0051294305057745
[H]Las Vegas;[C]Port of Spain;directed;583.0;1.016584172498151
[H]San Francisco;[C]Port of Spain;directed;143.82;1.0040911418330773
[H]Austin;[C]San Francisco;directed;858.33;1.024416282642089
[H]Bowling Green;[C]San Francisco;directed;325.38;1.0092558457074585
[H]Hauppauge;[C]San Francisco;directed;118.75;1.0033779939693919
[H]Huntington Beach;[C]San Francisco;directed;85.09;1.0024204926893099
[H]Laguna Beach;[C]San Francisco;directed;57.97;1.0016490299823633
[H]Las Vegas;[C]San Francisco;directed;1684.89;1.0479288274449565
[H]Los Angeles;[C]San Francisco;directed;66.39;1.001888547533709
[H]Mesquite;[C]San Francisco;directed;431.05;1.0122617625305796
[H]Newburgh;[C]San Francisco;directed;100.98;1.0028725038402457
[H]North Las Vegas;[C]San Francisco;directed;33.66;1.000957501280082
[H]North Myrtle Beach;[C]San Francisco;directed;48.62;1.0013830574045628
[H]Sarasota;[C]San Francisco;directed;2524.56;1.0718143027820448
[H]Southern Pines;[C]San Francisco;directed;56.1;1.0015958354668033
[H]Albert Lea;[C]Singapore;directed;65.1;1.0018518518518518
